orbit,bx,phi,eta,pt,charge
3410002,3494,0.872665,0.424125,3.5,-1
3410853,3477,1.75624,-0.685125,4,1
3414004,3458,1.50535,-0.685125,5.5,-1
3414928,3538,2.25802,-0.315375,3.5,1
3417054,3536,1.39626,0,3.5,-1
3420761,3552,-0.77449,0.424125,3.5,-1
3421542,3528,1.7126,-0.315375,3.5,1
3423485,3479,1.05811,0,3.5,-1
3424937,3501,1.21082,0,50.5,1
3424937,3502,-2.84707,0.511125,56.5,1
3425166,3460,1.29809,-0.685125,3.5,-1
3427354,3534,-1.1781,-0.80475,3.5,1
3428674,3525,-0.872665,-0.80475,7,-1
3428674,3526,-0.872665,-0.76125,6,-1
3429399,3544,1.4399,-0.358875,4.5,-1
3429399,3546,3.10887,0,3.5,1
3433041,3542,3.04342,0,5.5,1
3433041,3543,-0.556324,-0.76125,3.5,-1
3435984,3447,-1.0472,0.80475,4,1
3439362,3448,1.18901,0.76125,9,1
3440042,3465,2.07258,-0.358875,12,1
3441379,3479,1.98531,-0.685125,3.5,1
3454020,3459,2.13803,0,3,1
3455579,3506,1.8435,-0.76125,21.5,-1
3457972,3521,1.51625,-0.261,9,1
3461336,3490,2.6289,-0.184875,3.5,1
3461336,3491,2.72708,0,3.5,1
3461336,3492,-1.06901,-0.358875,3.5,-1
3463971,3478,2.3671,0,13.5,1
3464294,3542,2.39983,-0.511125,3,1
3467217,3461,2.51982,0.358875,4,1
3467426,3480,-2.05076,-0.685125,4,-1
3467514,3498,1.16719,0,139.5,1
3467514,3500,-1.03629,-0.641625,16,-1
3470109,3533,1.78896,-0.685125,4,1
3471831,3491,1.85441,0.424125,3.5,1
3472234,3476,2.02895,-0.511125,6.5,1
3472234,3477,-2.57436,-0.358875,4,-1
3473701,3509,1.99622,0,3.5,1
3475139,3546,2.14894,-0.358875,3.5,1
3480514,3470,1.34172,-0.685125,3.5,-1
3480514,3472,-0.469057,-0.511125,3.5,1
3480830,3483,1.62534,0.511125,44.5,1
3482992,3463,3.06523,0.80475,3.5,-1
3485340,3474,2.05076,-0.23925,69.5,1
3485340,3476,-0.676315,0.76125,63,-1
3490910,3520,1.46171,-0.358875,6.5,-1
3492079,3463,-2.27984,0.76125,4,1
3492383,3491,-2.42164,0,3.5,1
3492383,3491,-2.29074,-0.511125,3,1
3494887,3516,1.51625,-0.358875,8.5,-1
3494887,3517,1.50535,-0.511125,19.5,-1
3494887,3518,-1.11265,0,13.5,1
3495748,3459,1.06901,0.054375,5.5,1
3495791,3519,-1.60352,-0.511125,2.5,-1
3495971,3514,1.12356,-0.685125,3.5,-1
3500544,3489,1.41808,-0.685125,3.5,-1
3501239,3530,0.90539,0.76125,6.5,1
3501239,3532,-2.60709,0.76125,7,-1
3501967,3498,1.62534,-0.685125,10,1
3506569,3455,1.16719,-0.685125,3.5,-1
3508396,3475,-1.77805,-0.80475,14,-1
3511600,3536,1.39626,-0.1305,25.5,-1
3515014,3512,1.98531,0.358875,5.5,1
3518617,3447,1.90895,-0.685125,3.5,1
3520401,3467,-1.95259,-0.76125,6.5,1
3520653,3483,-0.698132,0.80475,3.5,1
3522132,3453,1.7017,0.511125,2.5,1
3523230,3522,0.763582,-0.685125,7.5,-1
3523230,3524,-2.48709,-0.358875,7.5,1
3524173,3463,1.31991,-0.685125,4,-1
3524173,3465,-1.52716,-0.511125,3,1
3528636,3525,-2.02895,-0.511125,5.5,-1
3530148,3497,2.07258,0.467625,5.5,-1
3530743,3490,1.55989,-0.76125,3.5,-1
3532719,3527,1.61443,-0.511125,4,-1
3532719,3528,-1.00356,-0.467625,4,1
3533460,3553,1.13446,0.76125,6.5,-1
3533460,3554,1.13446,0.76125,6.5,-1
3533460,3555,1.13446,0.76125,6.5,-1
3542366,3466,1.29809,0,3,-1
3542366,3468,-0.872665,0.489375,6,1
3549700,3506,-2.59618,-0.511125,8.5,-1
3549700,3506,-2.51982,-0.358875,3.5,-1
3550023,3503,-0.981748,-0.80475,3.5,-1
3550136,3497,1.94168,0.511125,4.5,1
3552553,3541,2.61799,0.10875,3.5,1
3553051,3531,0.57814,0.511125,3,-1
3553051,3532,-1.40717,0,3.5,1
